label,cutoff,fp_count,fpr,alert_yield,precision,recall,tp_exposure_dataset_units,fp_unlock_cost_ops_currency,fp_check_cost_ops_currency,disclaimer,ops_currency,exposure_unit
f1_on_valid,0.15,1072.0,0.011235130744641829,0.015354749439814958,0.27908540685944855,0.29061624649859946,1774.25120664259,7146666.666666667,1786666.6666666667,BAF has no currency column. Exposure uses dataset_amount_units from a numeric proxy column (not HKD). Ops labor costs use hypothetical HKD clerk rates for the HK demo only. Absolute HKD savings are not identified from BAF. See docs/baf_cost_units.md.,HKD,dataset_amount_units
block,0.85,0.0,0.0,9.293392398005019e-05,1.0,0.0063025210084033615,38.477737011526045,0.0,0.0,BAF has no currency column. Exposure uses dataset_amount_units from a numeric proxy column (not HKD). Ops labor costs use hypothetical HKD clerk rates for the HK demo only. Absolute HKD savings are not identified from BAF. See docs/baf_cost_units.md.,HKD,dataset_amount_units
alert,0.8300000000000001,0.0,0.0,9.293392398005019e-05,1.0,0.0063025210084033615,38.477737011526045,0.0,0.0,BAF has no currency column. Exposure uses dataset_amount_units from a numeric proxy column (not HKD). Ops labor costs use hypothetical HKD clerk rates for the HK demo only. Absolute HKD savings are not identified from BAF. See docs/baf_cost_units.md.,HKD,dataset_amount_units
