deck_label,file,exists,n_rows,fraud_rate_overall,fraud_rate_train_0_5,fraud_rate_valid_6,fraud_rate_test_7,literature_fraud_rate_approx,alias_of,pr_auc,random_pr_baseline,lift_vs_prevalence
Base,base.csv,True,1000000,0.011029,0.010252972053701372,0.013405073589231566,0.014745515938167962,0.011,,0.20762708689568926,0.011029,18.825558699400602
Variant I,variant_1.csv,True,1000000,0.011029,0.010252959156718953,0.013405073589231566,0.014745668201813262,0.011,,,0.011029,
Variant II,variant_2.csv,True,1000000,0.011029,0.010252959156718953,0.013405073589231566,0.014745668201813262,0.0115,,,0.011029,
Variant III,variant_3.csv,True,1000000,0.01103,0.011047989788060047,0.01225641477823825,0.00931994695965145,0.011,,,0.01103,
Variant IV,variant_4.csv,True,1000000,0.01103,0.011047989788060047,0.01225641477823825,0.00931994695965145,0.01,,,0.01103,
Variant V,variant_5.csv,True,1000000,0.01103,0.011047989788060047,0.01225641477823825,0.00931994695965145,0.011,,,0.01103,
