deck_label,file,pr_auc,recall,fraud_rate_overall,lift_vs_prevalence
Base,base.csv,0.2114097419365134,0.29061624649859946,0.011029,19.168532227447038
Variant I,variant_1.csv,0.21089930281991282,0.33613445378151263,0.011029,19.122250686364385
Variant II,variant_2.csv,0.21731060639399363,0.29901960784313725,0.011029,19.703563912774833
Variant III,variant_3.csv,0.5139808399768006,0.42784552845528456,0.01103,46.59844424087041
Variant IV,variant_4.csv,0.0973531183574322,0.16971544715447154,0.01103,8.826211999767198
Variant V,variant_5.csv,0.058949172692379,0.18292682926829268,0.01103,5.344439953978151
